data;time
24481.1282834408;2.28.12 0:00
24479.9229452333;2.28.12 1:00
26176.3434232347;2.28.12 2:00
28428.3984108757;2.28.12 3:00
31926.0227021313;2.28.12 4:00
31060.2044223799;2.28.12 5:00
29347.3287937926;2.28.12 6:00
28736.9443881371;2.28.12 7:00
29699.5410903656;2.28.12 8:00
31155.449948071;2.28.12 9:00
33811.2835683143;2.28.12 10:00
37008.7072240333;2.28.12 11:00
38552.3940453479;2.28.12 12:00
37384.6195707739;2.28.12 13:00
37174.5026791832;2.28.12 14:00
37354.9977256467;2.28.12 15:00
36460.2127178974;2.28.12 16:00
37536.9207728178;2.28.12 17:00
39884.6537407928;2.28.12 18:00
40344.2827115336;2.28.12 19:00
35693.4786409528;2.28.12 20:00
29829.5831132859;2.28.12 21:00
28268.5633617427;2.28.12 22:00
25804.3083646674;2.28.12 23:00
25423.024444032;2.29.12 0:00
24621.2840777083;2.29.12 1:00
26375.6380116919;2.29.12 2:00
29394.8724012774;2.29.12 3:00
33481.4868283509;2.29.12 4:00
32273.3344905235;2.29.12 5:00
30766.7370764179;2.29.12 6:00
29620.9070927462;2.29.12 7:00
29618.8239749094;2.29.12 8:00
32045.5571101326;2.29.12 9:00
34665.4017652962;2.29.12 10:00
37124.6127470617;2.29.12 11:00
37979.242554044;2.29.12 12:00
38050.015145996;2.29.12 13:00
37894.320591843;2.29.12 14:00
38068.6711808539;2.29.12 15:00
38286.9107516694;2.29.12 16:00
38455.9946628705;2.29.12 17:00
38296.7889901664;2.29.12 18:00
38525.561916615;2.29.12 19:00
34809.5931584723;2.29.12 20:00
30404.5673859906;2.29.12 21:00
28400.2689182207;2.29.12 22:00
26787.4601681549;2.29.12 23:00
25694.2969626487;3.1.12 0:00
25525.4357139475;3.1.12 1:00
26883.0332524174;3.1.12 2:00
28002.7525094995;3.1.12 3:00
33244.5249376703;3.1.12 4:00
32714.8962585421;3.1.12 5:00
32007.9560929164;3.1.12 6:00
29926.4130171705;3.1.12 7:00
30900.4208546682;3.1.12 8:00
31726.0839336594;3.1.12 9:00
34920.8742504633;3.1.12 10:00
37381.840791501;3.1.12 11:00
39533.8289006274;3.1.12 12:00
38485.4324565619;3.1.12 13:00
38830.9500746176;3.1.12 14:00
38820.089160413;3.1.12 15:00
38510.7831699371;3.1.12 16:00
39170.5458977138;3.1.12 17:00
41042.5223029268;3.1.12 18:00
41320.4508889966;3.1.12 19:00
36871.536134717;3.1.12 20:00
32947.5336028137;3.1.12 21:00
30749.2458354676;3.1.12 22:00
28579.0470164832;3.1.12 23:00
28656.8418455239;3.2.12 0:00
28873.3258570672;3.2.12 1:00
29527.8219070273;3.2.12 2:00
31693.8544903312;3.2.12 3:00
33747.5312802153;3.2.12 4:00
36070.6864183866;3.2.12 5:00
38292.8968984004;3.2.12 6:00
38868.3927811053;3.2.12 7:00
38698.6537527749;3.2.12 8:00
36971.7336500102;3.2.12 9:00
36668.572116987;3.2.12 10:00
38680.9932639816;3.2.12 11:00
41335.0713249527;3.2.12 12:00
40518.4087048156;3.2.12 13:00
40774.3927999899;3.2.12 14:00
40367.6532699077;3.2.12 15:00
40310.2700349903;3.2.12 16:00
39785.9080336787;3.2.12 17:00
40718.6602282731;3.2.12 18:00
39765.9417645417;3.2.12 19:00
36007.8395838666;3.2.12 20:00
34761.9427216804;3.2.12 21:00
31074.940691522;3.2.12 22:00
30571.6454014766;3.2.12 23:00
29812.0384576854;3.3.12 0:00
29901.2444219954;3.3.12 1:00
30156.3507375335;3.3.12 2:00
31549.9372410764;3.3.12 3:00
34096.0484068082;3.3.12 4:00
37102.1161018591;3.3.12 5:00
39236.5486182637;3.3.12 6:00
41234.0475114379;3.3.12 7:00
41276.7311550418;3.3.12 8:00
39312.8105505322;3.3.12 9:00
40472.0298912385;3.3.12 10:00
42891.7407893798;3.3.12 11:00
43848.1930341488;3.3.12 12:00
43965.4879468137;3.3.12 13:00
43365.6368967981;3.3.12 14:00
42380.4405865313;3.3.12 15:00
42726.8359842162;3.3.12 16:00
42935.4199790415;3.3.12 17:00
44436.0955981876;3.3.12 18:00
44748.2575900649;3.3.12 19:00
40014.0644540554;3.3.12 20:00
34829.5703647238;3.3.12 21:00
32128.3148658969;3.3.12 22:00
29416.5260114436;3.3.12 23:00
29075.6199540684;3.4.12 0:00
28911.1476035477;3.4.12 1:00
30652.3348429899;3.4.12 2:00
32753.411733223;3.4.12 3:00
37004.1709522457;3.4.12 4:00
